procedure_name,tin_type,tin_value,billing_class,negotiated_type,service_code,negotiated_rate,npi,reporting_entity_name,reporting_entity_type,plan_name,plan_id_type,plan_id,plan_market_type,last_updated_on,version,url,billing_code,NPI,Entity Type Code,Provider Organization Name (Legal Business Name),Provider Other Organization Name,Provider Other Organization Name Type Code,Provider First Line Business Mailing Address,Provider Second Line Business Mailing Address,Provider Business Mailing Address City Name,Provider Business Mailing Address State Name,Provider Business Mailing Address Postal Code,Provider Business Mailing Address Country Code (If outside U.S.),Provider Business Mailing Address Telephone Number,Provider Business Mailing Address Fax Number,Provider First Line Business Practice Location Address,Provider Second Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number,Provider Business Practice Location Address Fax Number,Provider Enumeration Date,Last Update Date,Authorized Official Last Name,Authorized Official First Name,Authorized Official Middle Name,Authorized Official Title or Position,Authorized Official Telephone Number,Provider License Number_1,Provider License Number State Code_1,Healthcare Provider Primary Taxonomy Switch_1,Is Sole Proprietor,Is Organization Subpart,Parent Organization LBN,Parent Organization TIN,Authorized Official Name Prefix Text,Authorized Official Name Suffix Text,Authorized Official Credential Text,Healthcare Provider Taxonomy Group_1,Healthcare Provider Taxonomy Group_2,Certification Date,Combined_taxonomy_codes
Under Excision-Benign Lesions Procedures on the Skin 0.6-1 CM,ein,200943974,professional,negotiated,"[""01"", ""06"", ""08"", ""12"", ""19"", ""20"", ""22"", ""24"", ""25"", ""26"", ""27"", ""41"", ""42"", ""50"", ""52"", ""53"", ""57"", ""58"", ""60"", ""62"", ""65"", ""99""]",1737.0,1164582649,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,11401,1164582649,2,"STRICTLY PEDIATRICS SURGERY CENTER OF CENTRAL TEXAS, LLC",STRICTLY PEDIATRICS SURGERY CENTER,3.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,US,5124747337.0,5124747336.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,5124747337.0,5124747336.0,12/12/2006,11/1/2021,KNOX,ROBERT,,ADMINISTRATIVE DIRECTOR,5124747337,,,Y,,N,,,,,,,,11/1/2021,261QA1903X
Chemical destruction of pre-cancerous lesions of the skin,ein,200943974,professional,negotiated,"[""01"", ""06"", ""08"", ""12"", ""19"", ""20"", ""22"", ""24"", ""25"", ""26"", ""27"", ""41"", ""42"", ""50"", ""52"", ""53"", ""57"", ""58"", ""60"", ""62"", ""65"", ""99""]",1737.0,1164582649,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,17250,1164582649,2,"STRICTLY PEDIATRICS SURGERY CENTER OF CENTRAL TEXAS, LLC",STRICTLY PEDIATRICS SURGERY CENTER,3.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,US,5124747337.0,5124747336.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,5124747337.0,5124747336.0,12/12/2006,11/1/2021,KNOX,ROBERT,,ADMINISTRATIVE DIRECTOR,5124747337,,,Y,,N,,,,,,,,11/1/2021,261QA1903X
Injection into lower back of nerve block using imaging guidance,ein,200943974,professional,negotiated,"[""01"", ""06"", ""08"", ""12"", ""19"", ""20"", ""22"", ""24"", ""25"", ""26"", ""27"", ""41"", ""42"", ""50"", ""52"", ""53"", ""57"", ""58"", ""60"", ""62"", ""65"", ""99""]",1737.0,1164582649,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,64493,1164582649,2,"STRICTLY PEDIATRICS SURGERY CENTER OF CENTRAL TEXAS, LLC",STRICTLY PEDIATRICS SURGERY CENTER,3.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,US,5124747337.0,5124747336.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,5124747337.0,5124747336.0,12/12/2006,11/1/2021,KNOX,ROBERT,,ADMINISTRATIVE DIRECTOR,5124747337,,,Y,,N,,,,,,,,11/1/2021,261QA1903X
"Debridement (for example, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps)",ein,200943974,professional,negotiated,"[""01"", ""06"", ""08"", ""12"", ""19"", ""20"", ""22"", ""24"", ""25"", ""26"", ""27"", ""41"", ""42"", ""50"", ""52"", ""53"", ""57"", ""58"", ""60"", ""62"", ""65"", ""99""]",1737.0,1164582649,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,97597,1164582649,2,"STRICTLY PEDIATRICS SURGERY CENTER OF CENTRAL TEXAS, LLC",STRICTLY PEDIATRICS SURGERY CENTER,3.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,US,5124747337.0,5124747336.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,5124747337.0,5124747336.0,12/12/2006,11/1/2021,KNOX,ROBERT,,ADMINISTRATIVE DIRECTOR,5124747337,,,Y,,N,,,,,,,,11/1/2021,261QA1903X
Laser removal of incompetent vein,ein,200943974,professional,negotiated,"[""01"", ""06"", ""08"", ""12"", ""19"", ""20"", ""22"", ""24"", ""25"", ""26"", ""27"", ""41"", ""42"", ""50"", ""52"", ""53"", ""57"", ""58"", ""60"", ""62"", ""65"", ""99""]",2664.0,1164582649,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,36478,1164582649,2,"STRICTLY PEDIATRICS SURGERY CENTER OF CENTRAL TEXAS, LLC",STRICTLY PEDIATRICS SURGERY CENTER,3.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,US,5124747337.0,5124747336.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,5124747337.0,5124747336.0,12/12/2006,11/1/2021,KNOX,ROBERT,,ADMINISTRATIVE DIRECTOR,5124747337,,,Y,,N,,,,,,,,11/1/2021,261QA1903X
Under Excision-Benign Lesions Procedures on the Skin 0.6-1 CM,ein,200943974,professional,negotiated,"[""01"", ""06"", ""08"", ""12"", ""19"", ""20"", ""22"", ""24"", ""25"", ""26"", ""27"", ""41"", ""42"", ""50"", ""52"", ""53"", ""57"", ""58"", ""60"", ""62"", ""65"", ""99""]",3289.0,1164582649,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,11401,1164582649,2,"STRICTLY PEDIATRICS SURGERY CENTER OF CENTRAL TEXAS, LLC",STRICTLY PEDIATRICS SURGERY CENTER,3.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,US,5124747337.0,5124747336.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,5124747337.0,5124747336.0,12/12/2006,11/1/2021,KNOX,ROBERT,,ADMINISTRATIVE DIRECTOR,5124747337,,,Y,,N,,,,,,,,11/1/2021,261QA1903X
Chemical destruction of pre-cancerous lesions of the skin,ein,200943974,professional,negotiated,"[""01"", ""06"", ""08"", ""12"", ""19"", ""20"", ""22"", ""24"", ""25"", ""26"", ""27"", ""41"", ""42"", ""50"", ""52"", ""53"", ""57"", ""58"", ""60"", ""62"", ""65"", ""99""]",3289.0,1164582649,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,17250,1164582649,2,"STRICTLY PEDIATRICS SURGERY CENTER OF CENTRAL TEXAS, LLC",STRICTLY PEDIATRICS SURGERY CENTER,3.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,US,5124747337.0,5124747336.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,5124747337.0,5124747336.0,12/12/2006,11/1/2021,KNOX,ROBERT,,ADMINISTRATIVE DIRECTOR,5124747337,,,Y,,N,,,,,,,,11/1/2021,261QA1903X
Laser removal of incompetent vein,ein,200943974,professional,negotiated,"[""01"", ""06"", ""08"", ""12"", ""19"", ""20"", ""22"", ""24"", ""25"", ""26"", ""27"", ""41"", ""42"", ""50"", ""52"", ""53"", ""57"", ""58"", ""60"", ""62"", ""65"", ""99""]",3289.0,1164582649,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,36478,1164582649,2,"STRICTLY PEDIATRICS SURGERY CENTER OF CENTRAL TEXAS, LLC",STRICTLY PEDIATRICS SURGERY CENTER,3.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,US,5124747337.0,5124747336.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,5124747337.0,5124747336.0,12/12/2006,11/1/2021,KNOX,ROBERT,,ADMINISTRATIVE DIRECTOR,5124747337,,,Y,,N,,,,,,,,11/1/2021,261QA1903X
Injection into lower back of nerve block using imaging guidance,ein,200943974,professional,negotiated,"[""01"", ""06"", ""08"", ""12"", ""19"", ""20"", ""22"", ""24"", ""25"", ""26"", ""27"", ""41"", ""42"", ""50"", ""52"", ""53"", ""57"", ""58"", ""60"", ""62"", ""65"", ""99""]",3289.0,1164582649,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,64493,1164582649,2,"STRICTLY PEDIATRICS SURGERY CENTER OF CENTRAL TEXAS, LLC",STRICTLY PEDIATRICS SURGERY CENTER,3.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,US,5124747337.0,5124747336.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,5124747337.0,5124747336.0,12/12/2006,11/1/2021,KNOX,ROBERT,,ADMINISTRATIVE DIRECTOR,5124747337,,,Y,,N,,,,,,,,11/1/2021,261QA1903X
"Debridement (for example, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps)",ein,200943974,professional,negotiated,"[""01"", ""06"", ""08"", ""12"", ""19"", ""20"", ""22"", ""24"", ""25"", ""26"", ""27"", ""41"", ""42"", ""50"", ""52"", ""53"", ""57"", ""58"", ""60"", ""62"", ""65"", ""99""]",3289.0,1164582649,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,97597,1164582649,2,"STRICTLY PEDIATRICS SURGERY CENTER OF CENTRAL TEXAS, LLC",STRICTLY PEDIATRICS SURGERY CENTER,3.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,US,5124747337.0,5124747336.0,1301 BARBARA JORDAN BLVD.,SUITE 100,AUSTIN,TX,78723,5124747337.0,5124747336.0,12/12/2006,11/1/2021,KNOX,ROBERT,,ADMINISTRATIVE DIRECTOR,5124747337,,,Y,,N,,,,,,,,11/1/2021,261QA1903X
Blood test to measure a type of thyroid hormone,ein,201610428,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",3.85,1841265295,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,84436,1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266.0,5128462245.0,101 PARK ST,,HUTTO,TX,78634,5128462266.0,5128462245.0,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,,,Y,,N,,,MR.,,MSPT,,,,261QM1300X
