billing_code,procedure_name,count,min,Q1,median,Q3,max,range,IQR,mean,std,10th_percentile,90th_percentile
10005,"Fine needle aspiration biopsy, including ultrasound guidance; first lesion",1,99.31,99.31,99.31,99.31,99.31,0.0,0.0,99.31,,99.31,99.31
10021,Fine Needle Aspiration Biopsy without imaging,1,74.42,74.42,74.42,74.42,74.42,0.0,0.0,74.42,,74.42,74.42
11102,"Tangential biopsy of skin (e.g., for example, shave, scoop, saucerize, curette); single lesion",1,74.42,74.42,74.42,74.42,74.42,0.0,0.0,74.42,,74.42,74.42
11103,"Tangential biopsy of skin (e.g., for example, shave, scoop, saucerize, curette); each separate/additional lesion",1,36.84,36.84,36.84,36.84,36.84,0.0,0.0,36.84,,36.84,36.84
12011,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes",1,82.47,82.47,82.47,82.47,82.47,0.0,0.0,82.47,,82.47,82.47
17000,Destruction of pre-cancerous lesion,1,49.04,49.04,49.04,49.04,49.04,0.0,0.0,49.04,,49.04,49.04
17110,Destruction of 1-14 common or plantar warts,1,83.2,83.2,83.2,83.2,83.2,0.0,0.0,83.2,,83.2,83.2
17311,"Micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens",1,495.81,495.81,495.81,495.81,495.81,0.0,0.0,495.81,,495.81,495.81
20605,Draining or injecting medication into a large joint/bursa without ultrasound,1,40.26,40.26,40.26,40.26,40.26,0.0,0.0,40.26,,40.26,40.26
20610,Draining or injecting medication into a major joint/bursa without ultrasound,1,47.09,47.09,47.09,47.09,47.09,0.0,0.0,47.09,,47.09,47.09
31575,"Flexible, fiberoptic diagnostic laryngoscopy",1,95.16,95.16,95.16,95.16,95.16,0.0,0.0,95.16,,95.16,95.16
43239,"Biopsy of the esophagus, stomach, and/or upper small bowel using an endoscope",1,276.7,276.7,276.7,276.7,276.7,0.0,0.0,276.7,,276.7,276.7
45378,Diagnostic examination of large bowel using an endoscope,1,248.64,248.64,248.64,248.64,248.64,0.0,0.0,248.64,,248.64,248.64
45380,Biopsy of large bowel using an endoscope,1,318.18,318.18,318.18,318.18,318.18,0.0,0.0,318.18,,318.18,318.18
45385,Removal of polyps or growths of large bowel using an endoscope,1,332.08,332.08,332.08,332.08,332.08,0.0,0.0,332.08,,332.08,332.08
