billing_code,procedure_name,count,min,Q1,median,Q3,max,range,IQR,mean,std,10th_percentile,90th_percentile
10005,"Fine needle aspiration biopsy, including ultrasound guidance; first lesion",90,75.85,139.71,511.56,1524.0,4000.0,3924.15,1384.29,863.42,846.45,102.65,1846.0
10021,Fine Needle Aspiration Biopsy without imaging,98,50.0,94.62,140.52,1913.25,3500.0,3450.0,1818.63,775.77,1076.2,65.25,2791.0
10040,"Incision and Drainage Procedures on the Skin, Subcutaneous and Accessory Structures",76,46.23,96.49,117.28,2244.0,3500.0,3453.77,2147.5,938.34,1172.78,57.85,2791.0
10060,Incision and drainage of abscess; simple or single and complex or multiple,88,50.0,117.07,139.89,2244.0,3500.0,3450.0,2126.93,842.65,1114.79,89.14,2791.0
10140,"Incision and drainage of hematoma, seroma or fluid collection",90,50.0,139.14,175.87,2244.0,3500.0,3450.0,2104.86,846.98,1094.9,96.9,2791.0
10160,"Puncture aspiration of abscess, hematoma, bulla, or cyst",94,50.0,113.66,157.87,2244.0,3500.0,3450.0,2130.34,812.11,1084.72,88.23,2791.0
11000,Removal of infected skin,111,25.12,53.28,61.49,332.5,3500.0,3474.88,279.22,641.97,1062.15,36.84,2791.0
11056,Paring or cutting of benign hyperkeratotic lesion,76,20.55,52.53,78.43,2244.0,3500.0,3479.45,2191.47,912.5,1191.44,27.55,2791.0
11102,"Tangential biopsy of skin (e.g., for example, shave, scoop, saucerize, curette); single lesion",91,33.88,78.71,108.72,2244.0,4000.0,3966.12,2165.29,916.86,1156.97,47.74,2791.0
11103,"Tangential biopsy of skin (e.g., for example, shave, scoop, saucerize, curette); each separate/additional lesion",112,19.67,52.21,53.83,2244.0,4484.0,4464.33,2191.79,910.4,1228.29,30.44,2791.0
11200,"Removal of skin tags, multiple fibrocutaneous tags, any area",80,50.0,78.12,95.0,2244.0,3500.0,3450.0,2165.88,887.4,1163.6,62.0,2791.0
11401,Under Excision-Benign Lesions Procedures on the Skin 0.6-1 CM,88,88.06,148.64,212.79,1498.0,3500.0,3411.94,1349.36,790.85,786.82,121.16,1846.0
11422,Under Excision-Benign Lesions Procedures on the Skin 1.1-2 CM,88,115.58,167.87,278.5,1498.0,3500.0,3384.42,1330.13,803.57,776.51,132.76,1846.0
