billing_code,procedure_name,count,min,Q1,median,Q3,max,range,IQR,mean,std,10th_percentile,90th_percentile
10005,"Fine needle aspiration biopsy, including ultrasound guidance; first lesion",365,86.09,109.97,176.88,1554.0,4419.0,4332.91,1444.03,695.98,828.72,99.34,1736.0
10021,Fine Needle Aspiration Biopsy without imaging,367,65.68,127.89,159.32,963.0,2866.0,2800.32,835.11,477.14,560.63,75.79,1201.0
10040,"Incision and Drainage Procedures on the Skin, Subcutaneous and Accessory Structures",366,67.5,86.48,133.48,963.0,2866.0,2798.5,876.52,465.08,569.22,84.18,1201.0
10060,Incision and drainage of abscess; simple or single and complex or multiple,367,73.78,98.96,152.74,963.0,2866.0,2792.22,864.04,471.49,564.46,93.11,1201.0
10140,"Incision and drainage of hematoma, seroma or fluid collection",367,96.18,139.15,214.79,2142.0,5398.0,5301.82,2002.85,1029.34,1289.24,131.27,2323.0
10160,"Puncture aspiration of abscess, hematoma, bulla, or cyst",367,61.54,111.14,171.55,963.0,2866.0,2804.46,851.86,477.88,560.75,100.42,1201.0
11000,Removal of infected skin,367,36.74,46.59,71.91,963.0,2866.0,2829.26,916.41,432.27,587.86,43.58,1201.0
11056,Paring or cutting of benign hyperkeratotic lesion,367,38.23,51.35,76.61,963.0,2866.0,2827.77,911.65,438.7,584.1,49.63,1201.0
11102,"Tangential biopsy of skin (e.g., for example, shave, scoop, saucerize, curette); single lesion",365,66.62,85.78,131.6,963.0,2866.0,2799.38,877.22,463.02,571.3,76.87,1201.0
11103,"Tangential biopsy of skin (e.g., for example, shave, scoop, saucerize, curette); each separate/additional lesion",365,35.43,46.26,72.14,963.0,2866.0,2830.57,916.74,433.23,589.45,40.88,1201.0
11200,"Removal of skin tags, multiple fibrocutaneous tags, any area",367,56.15,74.9,115.61,963.0,2866.0,2809.85,888.1,452.56,575.5,68.21,1201.0
11401,Under Excision-Benign Lesions Procedures on the Skin 0.6-1 CM,367,79.0,127.32,194.58,963.0,2866.0,2787.0,835.68,492.02,552.76,117.74,1201.0
11422,Under Excision-Benign Lesions Procedures on the Skin 1.1-2 CM,367,119.87,151.96,230.3,1554.0,4419.0,4299.13,1402.04,721.86,809.23,138.32,1736.0
11602,Excision-Malignant Lesions,367,79.0,202.34,266.55,963.0,2866.0,2787.0,760.66,551.49,521.92,190.01,1201.0
11721,Removal of 6 or more nails,367,30.26,38.37,59.22,963.0,2866.0,2835.74,924.63,425.5,592.06,34.92,1201.0
11730,Separation and removal of the entire nail plate or a portion of nail plate,367,67.5,84.99,130.66,963.0,2866.0,2798.5,878.01,463.01,569.47,84.65,1201.0
11900,Injections to remove up to 7 lesions on the skin,367,35.54,46.89,72.38,963.0,2866.0,2830.46,916.11,432.2,587.88,42.23,1201.0
12001,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities",367,60.52,84.24,135.7,963.0,2866.0,2805.48,878.76,461.02,570.49,69.83,1201.0
12011,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes",367,73.89,101.09,161.49,963.0,2866.0,2792.11,861.91,472.39,563.75,85.26,1201.0
17000,Destruction of pre-cancerous lesion,367,43.4,63.95,97.48,963.0,2866.0,2822.6,899.05,442.67,581.35,50.08,1201.0
17003,Destruction of 2-14 pre-cancerous lesions,317,5.22,8.53,13.16,1108.0,2866.0,2860.78,1099.47,464.72,630.75,6.44,1201.0
17110,Destruction of 1-14 common or plantar warts,367,69.6,92.87,143.35,963.0,2866.0,2796.4,870.13,466.68,567.15,85.8,1201.0
17111,Destruction of >15 common or plantar warts,367,79.0,110.23,170.14,963.0,2866.0,2787.0,852.77,479.16,559.94,100.69,1201.0
17250,Chemical destruction of pre-cancerous lesions of the skin,367,53.17,67.6,104.34,963.0,2866.0,2812.83,895.4,448.61,577.92,65.51,1201.0
17311,"Micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens",367,79.0,550.88,646.0,1108.0,2866.0,2787.0,557.12,820.58,454.27,509.22,1201.0
19120,REMOVAL OF BREAST LESION,369,322.9,422.33,651.89,2750.0,9335.0,9012.1,2327.67,1652.43,1867.8,393.02,3350.6
20550,Injection of medication into a tendon or ligament,367,36.6,51.46,77.55,963.0,2866.0,2829.4,911.54,433.52,587.0,42.23,1201.0
20551,Injection of medication into the tendon/ligament origin,367,37.53,52.69,80.37,963.0,2866.0,2828.47,910.31,434.14,586.61,43.31,1201.0
20553,Injection of medication into an area that triggers pain,367,42.69,55.45,84.6,963.0,2866.0,2823.31,907.55,436.93,584.89,49.26,1201.0
20600,Draining or injecting medication into a small joint/bursa without ultrasound,367,33.78,48.26,65.03,963.0,2866.0,2832.22,914.74,429.96,589.23,38.98,1201.0
20605,Draining or injecting medication into a large joint/bursa without ultrasound,367,34.95,51.46,70.45,963.0,2866.0,2831.05,911.54,431.52,588.25,40.33,1201.0
20610,Draining or injecting medication into a major joint/bursa without ultrasound,367,41.52,62.22,85.54,963.0,2866.0,2824.48,900.78,438.68,583.79,47.91,1201.0
20612,Removal of fluid or injection of medication into a ganglion cyst,367,41.29,53.0,79.9,963.0,2866.0,2824.71,910.0,435.89,585.57,47.64,1201.0
27440,Repair of knee joint,368,540.34,691.51,1067.37,5153.0,24439.0,23898.66,4461.49,3655.43,5541.46,623.63,5597.4
27441,Repair of knee joint,368,550.0,718.74,1103.09,5153.0,21710.0,21160.0,4434.26,3318.82,4464.99,644.2,5597.4
27442,Repair of knee joint,368,550.0,781.78,1167.95,5153.0,21710.0,21160.0,4371.22,3354.88,4446.08,682.1,5597.4
27443,Repair of knee joint,368,550.0,733.07,1093.22,5153.0,21710.0,21160.0,4419.93,3319.46,4464.4,635.27,5597.4
27445,Repair of knee joint with hinged prosthesis,368,640.0,1129.17,1685.42,6443.0,21710.0,21070.0,5313.83,4285.59,4943.05,982.27,7888.0
27446,Repair of knee joint,367,785.62,998.36,1564.15,6646.0,24439.0,23653.38,5647.64,4982.12,6256.93,906.48,17086.0
28296,"Under Repair, Revision, and/or Reconstruction Procedures on the Foot and Toes",368,480.0,703.81,976.1,3509.0,10677.0,10197.0,2805.19,2112.65,2054.86,622.08,3689.0
29826,Shaving of shoulder bone using an endoscope,367,79.0,160.52,243.68,1108.0,5377.0,5298.0,947.48,726.15,1041.52,136.69,1201.0
29848,Carpal tunnel release,368,344.6,441.52,681.5,3428.0,10677.0,10332.4,2986.48,1943.54,2176.92,397.62,4256.0
29880,Surgery to remove of all or part of a torn meniscus in both medial and lateral compartments,368,379.79,516.18,815.91,3428.0,10677.0,10297.21,2911.82,2007.79,2161.34,438.22,4390.7
29881,Surgery to remove of all or part of a torn meniscus in one compartment,368,365.95,495.05,760.23,3428.0,10677.0,10311.05,2932.95,1993.38,2170.56,422.25,4390.7
29888,ACL reconstruction,368,640.0,892.37,1329.63,6443.0,14886.0,14246.0,5550.63,3374.3,3329.46,766.55,6987.0
30520,Repair procedures of the nose,368,338.42,542.61,837.53,2687.0,9335.0,8996.58,2144.39,1731.23,1818.12,499.12,3392.6
31231,"Nasal endoscopy, diagnostic, unilateral or bilateral",367,79.0,177.37,224.18,963.0,2866.0,2787.0,785.63,522.45,535.96,148.33,1201.0
31237,"Surgical nasal/ sinus endoscopy with biopsy, polypectomy or debridement",367,169.14,266.31,369.82,2142.0,5398.0,5228.86,1875.69,1139.4,1297.73,195.8,2323.0
31575,"Flexible, fiberoptic diagnostic laryngoscopy",367,79.0,105.38,152.29,963.0,2866.0,2787.0,857.62,473.75,563.07,94.46,1201.0
36415,Collection of venous blood by venipuncture,2,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0
36471,Injections to remove spider veins on the limbs or trunk,367,79.0,160.83,217.77,963.0,2866.0,2787.0,802.17,516.49,539.79,151.31,1201.0
36475,Ablation of incompetent vein,368,480.0,1480.0,2183.49,3509.0,10677.0,10197.0,2029.0,2643.15,1839.98,1053.73,4530.19
36478,Laser removal of incompetent vein,368,480.0,1242.48,1777.07,3509.0,10677.0,10197.0,2266.52,2460.08,1919.42,819.05,4390.7
42820,Removal of tonsils and adenoid glands patient younger than age 12,368,193.77,268.47,395.27,2687.0,9335.0,9141.23,2418.53,1491.56,1907.93,223.58,2907.0
42826,Primary or secondary removal of tonsils,368,168.9,233.21,342.63,2687.0,9335.0,9166.1,2453.79,1465.72,1921.89,194.89,2907.0
42830,Primary removal of the adenoids,368,139.57,192.16,283.41,2687.0,9335.0,9195.43,2494.84,1437.03,1939.2,161.05,2907.0
43235,"Diagnostic examination of esophagus, stomach, and/or upper small bowel using an endoscope",367,187.2,274.18,412.34,2142.0,5398.0,5210.8,1867.82,1115.36,1234.96,216.0,2323.0
43239,"Biopsy of the esophagus, stomach, and/or upper small bowel using an endoscope",367,249.36,316.45,532.03,2142.0,5398.0,5148.64,1825.55,1163.45,1207.11,287.72,2323.0
43846,Surgical procedure used for weight loss resulting in a partial removal of stomach,367,193.0,1293.43,1581.48,2666.0,17971.0,17778.0,1372.57,2340.04,2430.92,1234.04,2892.0
44388,Diagnostic examination of large bowel using an endoscope which is inserted through abdominal opening,367,203.85,305.42,452.96,2142.0,5398.0,5194.15,1836.58,1138.09,1220.97,235.22,2323.0
